cpu_percent,memory_percent,disk_io_read_mb,disk_io_write_mb,active_processes,hour_of_day,target
14.3,60.4,172372.01171875,174498.66796875,538,3,medium
12.1,57.8,173553.89453125,176466.64453125,544,3,medium
1.5,54.6,174151.1171875,177906.30078125,545,3,low
0.8,57.1,174400.82421875,179480.87890625,552,3,low
11.7,56.7,174831.3984375,181009.3125,550,4,medium
46.0,57.8,174974.9765625,182588.64453125,567,4,medium
13.8,56.7,175161.9140625,184269.96484375,556,4,medium
21.7,58.9,175242.53515625,185911.171875,545,4,medium
30.3,58.0,175417.83203125,187814.578125,543,4,medium
13.3,58.3,175598.01953125,189474.31640625,544,4,medium
19.4,58.4,175628.1484375,191046.296875,546,4,medium
13.9,58.8,175749.77734375,192623.35546875,548,4,medium
13.9,58.6,175866.30859375,194169.4140625,548,4,medium
11.1,58.6,176352.4296875,195987.9609375,554,4,medium
12.8,58.8,176615.359375,197628.98046875,555,4,medium
13.0,60.1,176741.4765625,199258.47265625,554,4,medium
18.1,58.3,176874.5859375,200892.63671875,554,5,medium
21.0,58.7,177048.9375,202585.3125,570,5,medium
14.2,58.7,177187.87890625,204175.046875,555,5,medium
14.2,58.3,177381.19140625,205787.734375,554,5,medium
15.3,58.3,177594.921875,207379.19921875,558,5,medium
16.9,58.5,177726.6484375,208932.88671875,569,5,medium
14.4,58.9,177810.125,210502.5546875,571,5,medium
23.1,58.6,177894.8828125,212125.47265625,568,5,medium
13.7,58.5,178012.49609375,213664.3046875,563,5,medium
13.7,58.1,178226.29296875,215655.81640625,555,5,medium
12.2,58.1,178945.25390625,217285.37109375,561,5,medium
13.4,57.9,179045.35546875,218937.06640625,555,5,medium
14.8,58.0,179295.10546875,220587.375,553,6,medium
14.1,58.2,179392.4140625,222199.3984375,553,6,medium
1.3,57.7,180828.6484375,223742.875,557,6,low
2.3,57.6,180950.9296875,225201.37109375,557,6,low
1.0,57.7,181041.76953125,226643.5703125,557,6,low
1.3,57.9,181116.4921875,228081.07421875,557,6,low
0.6,57.6,181199.703125,229503.73046875,557,6,low
0.7,57.8,181312.47265625,230951.5,559,6,low
13.7,58.0,181862.4296875,232540.62890625,570,6,medium
13.7,58.1,182090.70703125,234342.9765625,574,6,medium
14.8,58.5,182192.109375,235983.7421875,585,6,medium
13.1,58.6,182274.55078125,237606.6484375,586,6,medium
14.5,58.8,182459.09765625,239233.56640625,577,7,medium
15.1,59.5,182661.1796875,240926.62109375,593,7,medium
14.0,58.0,182753.95703125,242510.640625,577,7,medium
14.7,58.7,184535.140625,244155.84375,571,7,medium
15.4,60.3,184790.859375,245763.28515625,571,7,medium
14.6,60.1,184936.66796875,247321.9765625,571,7,medium
14.8,57.9,185339.54296875,248919.859375,572,7,medium
13.4,59.1,185465.00390625,250533.64453125,573,7,medium
14.0,60.9,185914.90234375,252042.63671875,572,7,medium
18.0,60.4,186197.64453125,254050.7421875,574,7,medium
13.3,60.5,186281.64453125,255733.8671875,574,7,medium
14.1,61.0,186405.3203125,257370.34765625,574,7,medium
14.9,57.5,186807.21484375,259023.80859375,572,8,medium
14.4,58.0,187202.8984375,260710.01953125,587,8,medium
14.0,58.3,187283.61328125,262268.77734375,578,8,medium
14.0,59.2,187385.109375,263862.71875,587,8,medium
13.4,59.6,187440.54296875,265430.05078125,586,8,medium
17.6,64.1,188482.43359375,267143.52734375,590,8,medium
14.9,61.5,188589.6484375,268736.87890625,572,8,medium
14.8,61.9,188758.07421875,270302.8828125,573,8,medium
3.5,62.9,188865.24609375,271850.8203125,572,8,medium
1.6,62.6,189283.6875,273812.3046875,572,8,medium
7.8,62.6,189402.5234375,275234.52734375,572,8,medium
0.6,61.5,189469.01953125,276696.65234375,573,8,medium
0.6,60.3,189602.0859375,278132.44921875,572,9,medium
0.7,64.2,189800.25,279619.98828125,590,9,medium
1.4,61.7,189954.82421875,281044.828125,576,9,medium
0.9,63.2,190206.8125,282497.5,576,9,medium
9.1,65.2,190631.7734375,283985.23046875,575,9,medium
21.3,61.6,190988.734375,285717.4765625,577,9,medium
4.3,63.2,191420.10546875,287156.72265625,580,9,medium
19.5,64.4,191664.953125,288764.80859375,582,9,medium
13.9,64.2,192135.64453125,290425.8984375,590,9,medium
13.8,65.3,192239.80078125,292108.69921875,590,9,medium
13.5,65.5,192928.42578125,293741.9921875,579,9,medium
13.6,64.4,193171.89453125,295386.3203125,578,9,medium
0.6,66.3,193992.34375,296956.46484375,589,10,medium
13.8,66.2,194148.3984375,298538.6171875,589,10,medium
27.5,66.9,194318.7734375,300193.12890625,589,10,medium
14.6,65.4,194897.19921875,301804.5078125,589,10,medium
1.4,67.2,195429.953125,303292.015625,588,10,medium
15.7,66.5,195624.703125,304834.7578125,590,10,medium
13.9,68.2,195734.35546875,306396.921875,591,10,medium
0.9,66.4,195952.5546875,307880.58203125,590,10,medium
13.8,66.7,196073.109375,309434.8515625,597,10,medium
13.9,64.7,196230.49609375,311407.8203125,590,10,medium
14.3,63.8,196372.140625,313027.91015625,590,10,medium
14.4,66.7,196539.51171875,314708.921875,597,10,medium
3.6,62.8,197320.7890625,317346.45703125,593,11,medium
15.8,61.8,197937.0234375,320347.8359375,608,11,medium
16.4,64.2,198195.875,322436.4609375,602,11,medium
13.6,66.0,198349.47265625,322599.12890625,598,11,medium
13.0,66.5,198555.11328125,322773.828125,593,11,medium
14.1,67.4,198628.51171875,322935.1953125,594,11,medium
14.4,67.4,198677.796875,323076.53515625,610,11,medium
21.3,67.2,198737.45703125,323212.48046875,610,11,medium
5.9,67.3,200845.4453125,327481.75390625,630,11,medium
18.2,74.2,203615.1015625,330629.37109375,627,11,medium
11.2,72.7,204712.734375,333672.15625,607,11,medium
10.2,72.9,206007.7109375,336554.796875,590,11,medium
15.3,69.0,208309.3125,340222.5546875,541,12,medium
6.9,77.7,209943.82421875,344325.9296875,469,12,medium
1.2,77.5,213288.1171875,348755.875,487,12,medium
5.9,78.1,213724.7421875,352437.0625,496,12,medium
7.1,77.3,214573.828125,356151.3203125,495,12,medium
7.6,68.3,215412.23046875,359775.01953125,395,12,medium
5.6,72.0,216534.9140625,362561.0703125,451,12,medium
8.9,76.7,219527.76953125,365342.671875,484,12,medium
7.8,74.8,221290.40234375,368997.90234375,398,12,medium
2.1,69.0,225067.4765625,372344.296875,475,12,medium
10.5,77.3,228205.78515625,377110.48046875,521,12,medium
